TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Vehicular structure from motion (SfM) system for providing structure-perceptive vision to vehicles for autonomous or driver-assisted navigation, has memory stores finite number of frames in frame stack",VISWANATH P R;  NAGORI S;  MATHEW M,TEXAS INSTR INC (TEXI-C),"The%vehicular%SfM%system%(10)%has%an%input%to%receive%a%sequence%of%image%frames%acquired%from%a%camera%(3)%on%a%vehicle%(1).%A%memory%stores%a%finite%number%of%the%frames%in%a%frame%stack.%The%frame%stack%update%logic%is%selected%a%frame%to%discard%from%the%stack%when%a%new%frame%is%added%to%stack.%A%processor%implements%frame%stack%update%logic%and%to%compute%depth%values%based%on%the%image%frames.%The%frame%stack%update%logic%is%changed%from%a%first%in,%first%out%(FIFO)%logic%to%last%in,%first%out%(LIFO)%logic%upon%a%determination%that%the%vehicle%is%stationary.%%%%%-%Vehicular%structure%from%motion%system%for%providing%structure-perceptive%vision%to%vehicles%for%autonomous%or%driver-assisted%navigation.%%%%%-%The%system%enables%the%usage%of%monocular%cameras%even%when%the%vehicle%and%camera%stop%thereby%making%the%monocular%camera-based%solution%more%viable%due%to%its%robustness%and%cost-effectiveness.%The%systems%provide%the%depth%information%necessary%to%make%such%a%determination%thus%enhancing%the%navigational%capabilities%of%the%vehicle.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%method%for%providing%structure-perceptive%vision%to%vehicles.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%structural%block%diagram%from%motion%SfM%system%d%for%vehicular%control.%%%%Vehicle%(1)%%%%Camera%(3)%%%%Inertial%measurement%unit%(5)%%%%Structure%from%motion%system%(10)%%%%Vehicle%controller%(50)%",T01(DigitalComputers),T04(ComputerPeripheralEquipment),NA,NA
"System for managing autonomous vehicle, has configuration module to adjust operation of autonomous vehicle according to context of operation, while operating in autonomous mode",VAUGHN R L;  GRESHAM T J;  KUKIS C;  WEAST J C,VAUGHN R L (VAUG-Individual);  GRESHAM T J (GRES-Individual);  KUKIS C (KUKI-Individual);  WEAST J C (WEAS-Individual);  INTEL CORP (ITLC-C),"The%system%has%a%driving%behavior%collection%module%(110)%to%collect%driving%behavior%of%a%driver%while%driving%an%autonomous%vehicle%in%manual%mode.%A%driving%profile%module%(112)%to%build%a%driving%profile%based%on%the%driving%behavior.%A%configuration%module%(114)%configures%the%autonomous%vehicle%to%operate%according%to%the%driving%profile%when%operating%in%autonomous%mode.%The%operation%of%the%autonomous%vehicle%according%to%a%context%of%the%operation%is%adjusted,%while%operating%in%the%autonomous%mode.%%%%%-%System%for%managing%autonomous%vehicle%such%as%car,%truck,%motorcycle,%unscrewed%vehicles,%or%robotic%vehicle,%boat,%or%recreational%vehicle.%%%%%-%The%driving%profile%is%modified%while%the%autonomous%vehicle%is%operating%in%autonomous%mode%and%configuring%the%autonomous%vehicle%to%operate%according%to%the%driving%profile%when%operating%in%autonomous%mode.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%a%method%of%managing%an%autonomous%vehicle;%and%%%%(2)%a%machine-readable%medium%for%managing%autonomous%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%drawing%illustrating%a%system%to%control%an%autonomous%vehicle.%%%%Mobile%device%(106)%%%%Network%(108)%%%%Driving%behavior%collection%module%(110)%%%%Driving%profile%module%(112)%%%%Configuration%module%(114)%",Q19(Air-cushionvehicles),T06(ProcessandMachineControl),"W06(Aviation,MarineandRadarSystems)",X22(AutomotiveElectrics)
"System for managing network connections to optimize communication for autonomous vehicles, has processor for transmitting connection schedule to vehicles to enable vehicles to switch network connections at location points along travel route",ROSS W;  AITKEN M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%system%has%a%processor%for%identifying%a%travel%route%for%selected%of%autonomous%vehicles%(AVs)%(100).%The%processor%determines%a%connection%schedule%for%the%selected%AV%using%the%spectrum%heat%map,%where%the%connection%schedule%indicates%location%points%along%the%travel%route%at%which%the%selected%AV%is%to%switch%from%previous%network%connections%to%succeeding%network%connections.%The%processor%transmits%the%connection%schedule%to%the%selected%AV%to%enable%the%selected%AV%to%switch%network%connections%at%the%location%points%along%the%travel%route.%%%%%-%System%for%managing%network%connections%to%optimize%communication%for%AVs.%%%%%-%The%system%ensures%localization%to%enable%the%AV%to%tune%or%beam%steer%a%communications%array%in%order%to%maximize%communication%link%quality%and%minimize%interference%with%other%communications%from%other%AVs.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%method%for%managing%network%connections%for%AVs%operating%throughout%a%given%region%%%%(2)%a%non-transitory%computer%readable%medium%comprising%a%set%of%instructions%for%managing%network%connections%for%AVs%operating%throughout%a%given%region.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%block%diagram%of%communications%array%for%an%AV.%%%%AV%(100)%%%%Communication%arrays%(101)%%%%Communications%controller%(140)%%%%Communication%system%(150)%%%%Communications%(160)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),"W02(Broadcasting,RadioandLineTransmissionSystems)",US2017164257-A1ContofApplicationUS962847;US2017164257-A1ContofPatentUS9603158
"Method for operating network computer system to maintain information about road network in autonomous vehicles, involves determining traction value for regions of road network, where timing function is applied to determined traction values",RANDER P;  BRADLEY D M;  WOOD M,UBER TECHNOLOGIES INC (UBER-Non-standard),"%%%The%operating%method%involves%determining%the%traction%value%for%multiple%regions%of%the%road%network.%The%region%of%the%road%network%for%unknown%traction%value%is%identified.%The%vehicle%is%directed%to%operate%over%the%region%of%the%road%network%to%obtain%the%additional%data%indicating%the%current%traction%value.%The%traction%value%is%determined%from%the%received%sensor%data%from%the%vehicles%(201).%A%timing%function%is%applied%to%the%determined%traction%values%based%on%the%roadway%condition.%%%%%-%Method%for%operating%a%network%computer%system%to%maintain%information%about%the%road%network%for%the%autonomous%vehicles.%%%%%-%The%operating%method%involves%determining%the%traction%value%for%multiple%regions%of%the%road%network,%where%the%timing%function%is%applied%to%the%determined%traction%values%based%on%the%roadway%condition,%and%hence%ensures%providing%the%submap%updates%to%the%vehicles.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%a%non-transitory%computer%readable%medium%that%stores%the%instructions%for%executing%the%operating%method.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%representation%of%the%operating%method.%%%%Vehicles%(201)%%%%Vehicle%interface%(210)%%%%Traction%map%builder%(220)%%%%Vehicle%database%(240)%%%%Route%planning%logic%(260)%",T01(DigitalComputers),T06(ProcessandMachineControl),X22(AutomotiveElectrics),US2017168489-A1ProvisionalApplicationUS265960P;US2017168489-A1CIPofApplicationUS376270
"Vehicle communication network mobile access point for performing node operation in network of vehicles, has module for providing network services and orienting directional antenna in determined orientations as mobile access point moves",NEVES F;  CARREIRA D;  CARDOTE A,VENIAM INC (VENI-Non-standard),"%%%The%mobile%access%point%(MAP)%(752)%has%a%module%operable%to%provide%wireless%local%area%network%(WLAN)%services%to%a%local%area%around%the%MAP%as%the%MAP%moves.%The%module%determines%antenna%orientations%for%a%directional%antenna%as%the%MAP%moves%and%orients%the%directional%antenna%in%the%determined%orientations%as%the%MAP%moves.%The%module%is%operable%to%utilize%the%directional%antenna%to%establish%a%communication%link%with%another%access%point%of%a%vehicle%communication%network%(700).%The%module%is%operable%to%prioritize%a%fixed%access%point%over%the%MAP.%%%%%-%Vehicle%communication%network%mobile%access%point%(MAP)%for%performing%node%operation%in%a%network%of%vehicles.%s%include%but%are%not%limited%to%a%bus,%a%dump%lorry,%a%street%sweeper,%a%mail%lorry,%a%delivery%lorry,%an%emergency%services%vehicle,%a%road%maintenance%vehicle,%an%autonomous%vehicle,%a%manually%controlled%vehicle,%and%a%remotely%controlled%vehicle.%%%%%-%The%point%allows%a%platform%to%be%flexibly%optimized%for%different%purposes%to%reduce%latency,%increase%throughput,%reduce%power%consumption,%load%balance,%increase%reliability,%make%robust%with%regard%to%failures%or%other%disturbances%based%on%content,%service%or%data%that%the%platform%provides%or%handles%within%a%particular%environment.%The%communication%network%allows%a%port%operator%to%improve%coordination%of%ship%loading%processes%and%increase%throughput%of%a%harbor.%The%point%allows%harbor%authorities%to%quickly%detect%malfunctioning%lorries%and%abnormal%lorries%circulation,%thus%avoiding%accidents%in%order%to%increase%harbor%efficiency,%security,%and%safety%in%port%and/or%harbor%implementation%by%gathering%real-time%information%on%the%position,%speed,%fuel%consumption%and%carbon%di-oxide%emissions%of%the%vehicles.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%block%diagram%of%a%communication%network.%%%%Vehicle%communication%network%(700)%%%%Internet%(704)%%%%Cellular%network%(706)%%%%Fixed%APs%(742,%744,%748)%%%%Vehicle%communication%network%MAPs%(752,%754,%756,%758)%",W01(TelephoneandDataTransmissionSystems),"W02(Broadcasting,RadioandLineTransmissionSystems)","W05(Alarms,Signalling,TelemetryandTelecontrol)",X22(AutomotiveElectrics)
"Vehicle such as maintenance vehicles, cargo vehicles, shuttle vehicles, golf cars, has roll over protection structure operatively connected to chassis and arranged over passenger compartment and auxiliary storage compartment",JHANT P;  BAEKELANDT M;  FURMAN C,TEXTRON INC (TEXT-C),"%%%The%vehicle%(10)%has%a%chassis.%Multiple%wheels%are%operationally%connected%to%the%chassis.%A%prime%mover%is%mounted%to%the%chassis%and%operatively%connected%to%the%drivetrain.%A%passenger%compartment%(12)%is%supported%by%the%chassis.%The%passenger%compartment%comprises%a%dash%console,%a%floorboard%and%a%passenger%seating%structure.%An%auxiliary%storage%compartment%(98G)%is%arranged%between%the%passenger%compartment%and%the%cargo%bed%(18).%A%roll%over%protection%structure%is%connected%to%the%chassis%and%arranged%over%the%passenger%compartment%and%the%auxiliary%storage%compartment.%%%%%-%Vehicle%such%as%maintenance%vehicles,%cargo%vehicles,%shuttle%vehicles.%%%%%-%The%passenger%compartment%and/or%the%auxiliary%storage%compartment%additional%protection%from%environmental%elements%such%as%sun,%rain,%sleet,%snow%is%provided.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%an%auxiliary%storage%compartment%for%a%vehicle.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%perspective%view%of%the%view%of%the%vehicle.%%%%Vehicle%(10)%%%%Passenger%compartment%(12)%%%%Autonomous%independent%auxiliary%compartment%(14)%%%%Cargo%bed%(18)%%%%Auxiliary%storage%compartment%(98G)%","Q14(Electricpropulsion,seating)","Q17(Vehicleparts,fittings,servicing)",NA,NA
"Device for facilitating movement of users e.g. military persons, against fire, has processor for producing instruction to escape from venue when hazard is detected in venue, and output device for guiding person in escape from venue",HARVEY T D,HARVEY T D (HARV-Individual),"%%%The%device%has%a%processor%for%pre-training%a%model%with%information%concerning%layout%of%venues,%mechanisms%for%escape%from%venues,%or%behavior%of%persons%attempting%to%escape%from%the%venue%in%hazardous%condition.%A%sensor%acquires%information%to%be%d%in%training%the%model%concerning%one%of%the%location%of%the%person%in%the%venue%and%behavior%of%persons%attempting%to%escape%from%the%venue%when%person%is%present%in%the%venue.%The%processor%produces%an%instruction%to%escape%from%the%venue%when%hazard%is%detected%in%the%venue.%An%output%device%guides%the%person%in%escape%from%the%venue.%%%%%-%Device%for%facilitating%movement%of%rs%e.g.%military%persons,%soldiers%and%persons,%against%threat%i.e.%fire,%in%a%venue%e.g.%building%and%outside%area,%and%vehicles%e.g.%aircrafts%and%automobiles.%%%%%-%The%device%improves%chance%of%successful%escape%in%spite%of%difficulties%that%can%appear%from%threat%or%conditions%of%escape.%The%device%can%complete%autonomous%control%of%a%mobility%unit%to%carry%a%protected%person%from%endangered%venues.%The%device%utilizes%a%pre-train%computer%learning%model%for%allowing%additional%training%from%new%data%concerning%the%threat%event%to%allow%generation%of%an%escape%plan.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%the%following:%%%%(1)%a%device%for%facilitating%escape%from%a%venue%%%%(2)%a%method%for%escaping%threat%in%a%venue.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%plan%view%of%a%protected%person%entering%a%venue%with%an%escape%device.%%%%Entrance%(11)%%%%Escape%device%(12)%%%%Field%of%view%(14)%%%%Beacon%(15)%%%%Server%signal%(17)%",T01(DigitalComputers),W07(ElectricalMilitaryEquipmentandWeapons),NA,NA
"System for providing decentralized coordination and real-time environmental changes in workspace, has distributed cameras communicated with other distributed cameras to coordinate movement of vehicles from source to destination",BOBDA C,UNIV ARKANSAS (UYAR-C),"%%%The%system%has%distributed%cameras%(C1-C6)%positioned%in%predetermined%locations.%Each%distributed%camera%has%a%field-of-view%that%covers%a%predetermined%zone%of%a%workspace%and%creates%overlapping%fields-of-view%of%the%workspace.%Autonomous%guided%vehicles%(AGVs)%are%in%communication%with%the%distributed%cameras.%The%distributed%cameras%collaboratively%build%and%maintain%a%navigation%map%of%the%workspace.%The%distributed%cameras%are%communicated%with%the%other%distributed%cameras%to%coordinate%movement%of%the%vehicles%from%a%source%to%a%destination.%%%%%-%System%for%providing%decentralized%coordination%and%real-time%environmental%changes%in%a%workspace%to%an%autonomous%guided%vehicle%(AGV)%e.g.%fork%lift%truck%and%tugger,%d%to%revolutionize%operations%for%autonomous%mobile%robot%applications.%s%include%but%are%not%limited%to%a%manufacturing%area,%distribution%area,%transportation%area,%military%area,%unstructured%environment%e.g.%hospital,%mall,%retail%store,%critical%infrastructure,%airport,%school%and%sports%venue%and%an%indoor%environment.%%%%%-%The%system%includes%lean%and%agile%entities,%which%can%optimize%indoor%transportation%activities%in%an%existing%arrangement%without%modification%of%an%available%infrastructure%and%reduce%labor%and%operating%costs%by%redeploying%employees%to%value-added%roles.%The%system%provides%a%uniform%color%space%that%reduces%computational%power%and%obtains%meaningful%segmentation%by%linear%addition%properties%in%images%with%additive%mixtures%of%light.%The%system%is%designed%such%that%cost%of%an%edge%connecting%two%junction%points%is%equal%to%edge%traversal%time,%which%is%increased%at%run-time%proportionally%to%avoid%congestion%and%enhance%balance%utilization%of%paths%within%a%camera%region.%%%%%%-%An%INDEPENDENT%CLAIM%is%also%included%for%a%method%for%autonomously%guiding%vehicles%from%a%source%to%a%destination%along%a%path%in%a%workspace.%%%%%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%illustrating%distributed%coordination%approach%using%smart%cameras%with%overlapping%fields%of%view.%%%%Distributed%cameras%(C1-C6)%%%%Environment%for%providing%decentralized%coordination%and%real-time%environmental%changes%in%workspace%(100)%%%%Lorry%(150)%%%%Path%(160)%%%%Obstructions%(170-174)%",T06(ProcessandMachineControl),NA,NA,US2017176999-A1ProvisionalApplicationUS268786P
"Method for testing automatic vehicle driving using a test vehicle, involves checking whether multiple test vehicles are running in cluster, and confirming whether inter-vehicle communication is made when test vehicles are running in cluster",HYUNGWOOK S;  JAE N Y;  KIHONG P;  OH S K;  PANSU K;  TAEK H J;  YUNSUNG N,UNIV KOOKMIN IND ACAD COOP FOUND (UYKO-Non-standard),%%%The%method%involves%checking%whether%multiple%test%vehicles%(C)%are%running%in%a%cluster.%A%confirmation%is%made%that%whether%an%inter-vehicle%communication%is%made%when%the%test%vehicles%are%running%in%cluster.%A%cruise%control%system%is%operated%for%exchanging%data%by%communicating%with%a%vehicle%located%behind%a%foremost%test%vehicle.%A%checking%is%made%that%whether%the%test%vehicles%are%running%in%a%crowd.%A%crowd%traveling%merging%system%is%operated%after%confirming%that%whether%the%crowd%driving%is%joined.%A%driving%motor%providing%a%drives%force%to%a%front%wheel%(FW)%or%rear%wheel%(RW).%%%%%-%Method%for%testing%an%automatic%vehicle%driving%using%a%test%vehicle.%%%%%-%The%effective%autonomous%and%safe%driving%performance%is%ensured.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%perspective%view%of%a%test%vehicle.%%%%Central%frame%(10)%%%%Front%area%(20)%%%%Test%vehicle%(C)%%%%Front-wheel%(FW)%%%%Rear%wheel%(RW)%,"S02(EngineeringInstrumentation,recordingequipment,generaltestingmethods)",NA,NA,KR2017061124-ADivexApplicationKR117916
"Towing system for the autonomous vehicle on the public roads, comprises a receiver that receives the wireless guidance transmissions from a lead vehicle, where transmitter transmits the wireless transmissions to the lead vehicle",AMLA J;  AMLA K;  AMLA T,AVISHTECH LLC (AVIS-Non-standard),"%%%The%towing%system%comprises%a%receiver%that%receives%the%wireless%guidance%transmissions%from%a%lead%vehicle%(201).%A%transmitter%transmits%the%wireless%transmissions%to%the%lead%vehicle.%An%electronic%controller%(204)%processes%the%guidance%transmissions%received%by%the%receiver,%and%outputs%the%control%data.%A%momentum%control%system%receives%the%control%data%from%the%electronic%controller.%A%control%subsystem%cas%a%follow%vehicle%to%steer%by%manipulating%a%steering%wheel%of%the%follow%vehicle.%%%%%-%Towing%system%for%the%autonomous%vehicle%on%the%public%roads.%%%%%-%The%towing%system%comprises%a%receiver%that%receives%the%wireless%guidance%transmissions%from%a%lead%vehicle,%where%the%control%subsystem%cas%a%follow%vehicle%to%steer%by%manipulating%a%steering%wheel%of%the%follow%vehicle,%and%hence%reduce%the%wind%resistance,%enhances%the%drafting%capabilities%of%the%vehicles,%and%prevents%the%follow%vehicle%from%colliding%with%the%rear%of%lead%vehicle.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%a%schematic%view%of%the%towing%vehicles.%%%%Lead%vehicle%(201)%%%%Connections%(203,223)%%%%Electronic%controller%(204)%%%%Sensor%(306)%%%%Boundaries%(307)%%%%Instance%sensor%(328)%",T01(DigitalComputers),T06(ProcessandMachineControl),X22(AutomotiveElectrics),US2017168503-A1ProvisionalApplicationUS266550P
