#,Jurisdiction,Kind,Publication Number,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Title,Applicants,Inventors,URL,Type,Full Text,Cited Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,PubMed Id(s),DOI(s),Non-Patent Citations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,US,A1,US 2016/0274591 A1,043-536-095-718-774,2016-09-22,2016,US 201615057511 A,2016-03-01,DE 102015205032 A 20150319,Vehicle Combination And Method For Forming And Operating A Vehicle Combination,KUKA ROBOTER GMBH,BICK CHRISTOPH,,MEYER-DELIUS DANIEL,,TARDIVON JEREMIE,https://lens.org/043-536-095-718-774,Patent Application,yes,0,6,6,0,G05D1/0295,,B62D59/04,,G05D1/0027,,G05D2201/02,G05D1/02,,G05D1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,US,A1,US 2015/0242953 A1,149-476-721-408-311,2015-08-27,2015,US 201414189485 A,2014-02-25,US 201414189485 A 20140225,Systems And Methods For Generating Data That Is Representative Of An Insurance Policy For An Autonomous Vehicle,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,SUITER JERRY BRETT,https://lens.org/149-476-721-408-311,Patent Application,yes,2,1,1,0,G06Q40/08,,G07C5/008,,G07C5/0866,G06Q40/08,,G07C5/00,,,,"Woodyard et al. ""YOUR CAR MAY BE INVADING YOUR PRIVACY"" March 25 2013, USA TODAY;;Campbell, Mark, et al. ""Autonomous driving in urban environments: approaches, lessons and challenges."" Philosophical Transactions of the Royal Society of London A: Mathematical, Physical and Engineering Sciences 368.1928 (2010): 4649-4672;;Remenyte-Prescott, Rasa, John D. Andrews, and Paul Wai Hing Chung. ""An efficient phased mission reliability analysis for autonomous vehicles."" Reliability Engineering & System Safety 95.3 (2010): 226-235.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US,A1,US 2013/0238170 A1,142-116-268-070-557,2013-09-12,2013,US 201213417046 A,2012-03-09,US 201213417046 A 20120309,Autonomous Vehicle And Method For Coordinating The Paths Of Multiple Autonomous Vehicles,KLINGER JOHN SOLOMON,KLINGER JOHN SOLOMON,https://lens.org/142-116-268-070-557,Patent Application,yes,25,2,18,0,G05D1/104,G05D1/00,,G08G1/00,,G08G5/00,701/3,,701/25,,701/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,US,B1,US 8880270 B1,084-390-524-827-898,2014-11-04,2014,US 201313736937 A,2013-01-08,US 201313736937 A 20130108,Location-aware Notifications And Applications For Autonomous Vehicles,GOOGLE INC,FERGUSON DAVE,,ZHU JIAJUN,,CLEMENT MANUEL CHRISTIAN,https://lens.org/084-390-524-827-898,Granted Patent,yes,25,1,1,0,B60W30/00,,G05D1/021,,G05D2201/0213,,G06Q50/10,G01C21/00,,G05D1/02,701/23,,701/516,,705/6,,,"D. Lavrinc,""Daily Deals Are Coming to Your Car"", Wired Autopia, Aug. 8, 2012, Wired.com / Conde Nast.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,US,A1,US 2015/0348335 A1,088-586-344-841-676,2015-12-03,2015,US 201514824086 A,2015-08-12,US 201514824086 A 20150812,Performing Services On Autonomous Vehicles,RAMANUJAM MADHUSOODHAN,RAMANUJAM MADHUSOODHAN,https://lens.org/088-586-344-841-676,Patent Application,yes,0,1,1,0,G07C5/006,,G05D1/0088,,G05D1/0225,,G05D2201/0213,,G06Q10/00,,G07C5/008,G07C5/00,,G05D1/00,,G05D1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EP,B1,EP 0913751 B1,060-806-016-810-358,2003-09-03,2003,EP 98119032 A,1998-10-08,DE 19748405 A 19971103,Autonomous Vehicle And Guiding Method For An Autonomous Vehicle,VOLKSWAGEN AG,BERGHOLZ RALF DR,,WEISSER HUBERT DR,,TIMM KLAUS PROF DR-ING,https://lens.org/060-806-016-810-358,Granted Patent,yes,15,4,5,0,G01S17/936,,G01S13/86,,G01S13/881,,G01S13/931,,G01S15/931,,G01S17/023,,G01S17/87,,G01S17/89,,G01S2013/9325,,G01S2013/9342,,G01S2013/9346,,G01S2013/935,,G01S2013/9353,,G01S2013/9357,,G01S2013/936,,G01S2013/9375,,G01S2013/9378,,G01S2013/9382,,G01S2013/9385,,G05D1/024,,G05D1/0246,,G05D1/0257,,G05D1/027,,G05D1/0274,,G05D1/0278,,G05D2201/0213,B60R21/00,,B60W30/00,,G01S13/86,,G01S13/88,,G01S13/93,,G01S15/93,,G01S17/02,,G01S17/87,,G01S17/89,,G01S17/93,,G05D1/02,,G08G1/09,,G08G1/0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,US,A1,US 2016/0018822 A1,059-669-126-406-387,2016-01-21,2016,US 201514839174 A,2015-08-28,US 2015 0041209 W 20150720,,US 201462026700 P 20140720,,US 201462026292 P 20140718,,US 201462026692 P 20140720,Autonomous Vehicle Operation,HELICO AEROSPACE IND SIA,NEVDAHS ILJA,,SPOGIS JANIS,,TRAPANS NILS,,ROZENTALS EDGARS,,KIPURS AGRIS,https://lens.org/059-669-126-406-387,Patent Application,yes,8,1,5,0,G05D1/0094,G05D1/00,,G05D1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,US,A1,US 2015/0346727 A1,023-409-869-865-413,2015-12-03,2015,US 201514824084 A,2015-08-12,US 201514824084 A 20150812,Parking Autonomous Vehicles,RAMANUJAM MADHUSOODHAN,RAMANUJAM MADHUSOODHAN,https://lens.org/023-409-869-865-413,Patent Application,yes,12,1,1,0,B62D15/0285,G05D1/00,,G05D1/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WO,A2,WO 2013/134590 A2,097-733-431-357-341,2013-09-12,2013,US 2013/0029760 W,2013-03-08,US 201213417046 A 20120309,,US 201213724414 A 20121221,Autonomous Vehicle And Method For Coordinating The Paths Of Multiple Autonomous Vehicles,PROXY TECHNOLOGIES INC,KLINGER JOHN SOLOMON,,DAVIS ROBERT F,https://lens.org/097-733-431-357-341,Patent Application,yes,2,16,18,0,G08G9/02,,G05D1/0027,,G05D1/10,,G05D1/104,,G08G1/162,,G08G1/163,,G08G5/0004,,G08G5/0008,,G08G5/0021,,G08G5/003,,G08G5/0069,,G08G5/04,,G08G5/045,,G08G5/065,G05D1/00,,G08G1/00,,G08G5/00,,,,See also references of EP 2823258A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WO,A1,WO 2011/154681 A1,180-149-072-336-842,2011-12-15,2011,GB 2011000705 W,2011-05-06,GB 201009523 A 20100607,An Autonomous Vehicle,CAPOCO DESIGN LTD,,PONSFORD ALAN THOMAS,PONSFORD ALAN THOMAS,https://lens.org/180-149-072-336-842,Patent Application,yes,7,2,2,0,H01H23/16,B62D31/02,,B61B15/00,,B62D63/02,,H01H23/16,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,US,B1,US 9465388 B1,096-944-859-696-874,2016-10-11,2016,US 201414195663 A,2014-03-03,US 201414195663 A 20140303,Remote Assistance For An Autonomous Vehicle In Low Confidence Situations,GOOGLE INC,FAIRFIELD NATHANIEL,,HERBACH JOSHUA SETH,https://lens.org/096-944-859-696-874,Granted Patent,yes,0,2,2,0,G05D1/0088,,B60W30/00,,G05D1/0027,,G05D1/0038,,G05D1/0044,,G05D2201/0213,,H04L67/12,G05D1/00,,G05D3/00,,G06F7/00,,G06F17/00,,,,"International Searching Authority, International Search Report and Written Opinion for PCT/US2015/015039 mailed May 19, 2015, 10 pages.;;International Searching Authority, International Search Report and Written Opinion for PCT/US2015/015040 mailed May 15, 2015, 14 pages.;;Ronald C. Arkin et al., ""Overriding Ethhical Constraints in Lethal Autonomous Systems,"" pp. 1-9, Jan. 2012, Mobile Robot Laboratory, Georgia Institute of Technology, Atlanta, GA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,US,A1,US 2017/0123421 A1,083-121-905-932-42X,2017-05-04,2017,US 201514756995 A,2015-11-04,US 201514756995 A 20151104,Coordination Of Dispatching And Maintaining Fleet Of Autonomous Vehicles,KENTLEY TIMOTHY DAVID,,GAMARA RACHAD YOUSSEF,,ZOOX INC,KENTLEY TIMOTHY DAVID,,GAMARA RACHAD YOUSSEF,https://lens.org/083-121-905-932-42X,Patent Application,yes,0,2,38,0,G05D1/0088,,G01C21/26,,G05D1/0011,G05D1/00,,G01C21/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,US,A1,US 2015/0149019 A1,105-337-636-512-273,2015-05-28,2015,US 201314088232 A,2013-11-22,US 201314088232 A 20131122,Autonomous Vehicle Identification,FORD GLOBAL TECH LLC,PILUTTI THOMAS EDWARD,,RUPP MATT Y,,TROMBLEY ROGER ARNOLD,,WALDIS ANDREW,,YOPP WILFORD TRENT,https://lens.org/105-337-636-512-273,Patent Application,yes,18,6,6,0,G08G1/22,,B60Q1/50,,G08G1/096725,,G08G1/096741,,G08G1/096775,,G08G1/096791,G08G1/00,701/23,,10.1109/mra.2005.1411418,,10.1109/tits.2006.884615,"Van Arem, Bart, Van Driel, Cornelie J.G., and Visser, Ruben, ""The Impact of Cooperative Adaptive Cruise Control of Traffic-Flow Characteristics"", December 2006, IEEE Transactions on Intelligent Transportation Systems, Vol. 7, No. 4, pp. 429-436.;;Baber, Jonathon, Kolodko, Julian, et al., ""Cooperative Autonomous Driving: Intellignet Vehicles Sharing City Roads"", March 2005, IEEE Robotics and Automation Magazine, pp. 44-49.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WO,A2,WO 2016/012867 A2,093-327-552-968-860,2016-01-28,2016,IB 2015002057 W,2015-07-20,US 201462026700 P 20140720,,US 201462026692 P 20140720,Autonomous Vehicle Operation,HELICO AEROSPACE IND SIA,NEVDAHS ILJA,,SPOGIS JANIS,,TRAPANS NILS,,ROZENTALS EDGARS,,KIPURS AGRIS,https://lens.org/093-327-552-968-860,Patent Application,yes,0,3,5,0,G05D1/0094,,G01C23/005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,US,A1,US 2016/0176398 A1,005-422-082-454-243,2016-06-23,2016,US 201414581757 A,2014-12-23,US 201414581757 A 20141223,Risk Mitigation For Autonomous Vehicles Relative To Turning Objects,TOYOTA ENG & MFG NORTH AMERICA,PROKHOROV DANIL V,,VLADIMEROU VLADIMEROS,https://lens.org/005-422-082-454-243,Patent Application,yes,0,1,1,0,B60W30/09,,B62D15/0265,B60W30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
