Setor Econômico,2003,2004,2005,2006
"Fabricação de máquinas de escritório, de contabilidade e de informática", 278 , 280 , 279 , 310 
"Fabricação de fios, cabos e condutores elétricos isolados", 238 , 245 , 249 , 261 
Fabricação de material eletrônico básico, 417 , 389 , 444 , 467 
Fabricação de transmissores de rádio e televisão e de equipamentos para linhas telefônicas e de telégrafo, 264 , 257 , 253 , 251 
"Fabricação de aparelhos receptores de rádio e televisão e de reprodução, gravação ou amplificação de som e vídeo", 202 , 212 , 180 , 195 
"Fabricação de instrumentos de medida, teste e controle - exceto equipamentos para controle de processos industriais", 249 , 236 , 216 , 221 
Fabricação de equipamentos de controle do processo industrial, 204 , 225 , 218 , 247 
"Comércio atacadista de computadores, equipamentos de telefonia e comunicação,
  partes e peças", 765 , 792 , 1.065 , 958 
Telecomunicações, 1.398 , 1.284 , 1.906 , 2.428 
Aluguel de máquinas e equipamentos para escritórios, 208 , 478 , 886 , 1.466 
Atividades de informática, 51.372 , 51.269 , 52.663 , 58.949 
