Setor Econômico,2003,2004,2005,2006
"Fabricação de máquinas de escritório, de contabilidade e de informática",20426,21972,29186,37577
"Fabricação de fios, cabos e condutores elétricos isolados",18059,19520,20519,22196
Fabricação de material eletrônico básico,21905,21971,20591,19606
Fabricação de transmissores de rádio e televisão e de equipamentos para linhas telefônicas e de telégrafo,20692,33604,34277,39681
"Fabricação de aparelhos receptores de rádio e televisão e de reprodução, gravação ou amplificação de som e vídeo",22594,27484,23523,26489
"Fabricação de instrumentos de medida, teste e controle - exceto equipamentos para controle de processos industriais",16529,15859,17873,18209
Fabricação de equipamentos de controle do processo industrial,6211,6618,7311,8613
"Comércio atacadista de computadores, equipamentos de telefonia e comunicação,
  partes e peças",13071,14531,18172,22003
Telecomunicações,71050,79613,84442,91077
Aluguel de máquinas e equipamentos para escritórios,2880,3500,5365,8998
Atividades de informática,265029,297333,332332,378576
